Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-06-12T14:00:00Z,GOOGL,122.225,18,Market,Filled,2200.05,"" 
2023-06-14T15:00:00Z,NVDA,418.44,-6,Market,Filled,-2510.64,"Liquidated" 
2023-06-26T14:00:00Z,INTC,33.64,67,Market,Filled,2253.88,"" 
2023-06-30T14:00:00Z,AAPL,192.47,-13,Market,Filled,-2502.11,"Liquidated" 
2023-07-03T15:00:00Z,NKE,109.79,21,Market,Filled,2305.59,"" 
2023-07-03T15:00:00Z,XLI,107.23,21,Market,Filled,2251.83,"" 
2023-07-05T14:00:00Z,META,293.81,-9,Market,Filled,-2644.29,"Liquidated" 
2023-07-10T14:00:00Z,META,291.76,7,Market,Filled,2042.32,"" 
2023-07-12T14:00:00Z,SQQQ,18.4,-102,Market,Filled,-1876.8,"Liquidated" 
2023-07-14T14:00:00Z,QQQ,381.68,-6,Market,Filled,-2290.08,"Liquidated" 
2023-07-17T14:00:00Z,AAPL,192.515,12,Market,Filled,2310.18,"" 
2023-07-17T14:00:00Z,XLV,130.98,18,Market,Filled,2357.64,"" 
2023-07-17T15:00:00Z,T,13.875,172,Market,Filled,2386.5,"" 
2023-07-18T19:00:00Z,TSLA,293.42,-10,Market,Filled,-2934.2,"Liquidated" 
2023-07-24T14:00:00Z,RIVN,24.93,97,Market,Filled,2418.21,"" 
2023-07-24T14:00:00Z,SQQQ,18.15,133,Market,Filled,2413.95,"" 
2023-07-26T14:00:00Z,GOOG,130.86,-20,Market,Filled,-2617.2,"Liquidated" 
2023-07-27T14:00:00Z,BA,236.07,-11,Market,Filled,-2596.77,"Liquidated" 
2023-07-31T14:00:00Z,JNJ,168.63,14,Market,Filled,2360.82,"" 
2023-07-31T14:00:00Z,BA,236.48,10,Market,Filled,2364.8,"" 
2023-08-14T14:00:00Z,SPY,445.2,6,Market,Filled,2671.2,"" 
2023-08-14T14:00:00Z,XLU,63.96,58,Market,Filled,3709.68,"" 
2023-08-14T14:00:00Z,RIVN,20.73,-97,Market,Filled,-2010.81,"Liquidated" 
2023-08-24T16:00:00Z,DIS,83.1,-20,Market,Filled,-1662,"Liquidated" 
2023-09-21T14:00:00Z,AMD,97.13,-18,Market,Filled,-1748.34,"Liquidated" 
2023-09-21T14:00:00Z,BA,200.5,-10,Market,Filled,-2005,"Liquidated" 
2023-09-21T14:00:00Z,NKE,92.72,-21,Market,Filled,-1947.12,"Liquidated" 
2023-09-28T14:00:00Z,TLT,87.47,-19,Market,Filled,-1661.93,"Liquidated" 
2023-10-14T04:00:00Z,ATVI,94.42,-26,Market,Filled,-2454.92,"Liquidate from delisting" 
2023-10-16T14:00:00Z,SOXL,19.55,114,Market,Filled,2228.7,"" 
2023-10-23T14:00:00Z,SOXL,16.39,-114,Market,Filled,-1868.46,"Liquidated" 
2023-10-26T16:00:00Z,TQQQ,31.34,-60,Market,Filled,-1880.4,"Liquidated" 
2023-10-27T15:00:00Z,GS,294.34,-5,Market,Filled,-1471.7,"Liquidated" 
2023-11-06T15:00:00Z,SOXL,18.14,124,Market,Filled,2249.36,"" 
2023-11-06T15:00:00Z,TLT,86.84,25,Market,Filled,2171,"" 
2023-11-13T15:00:00Z,SPY,438.85,-6,Market,Filled,-2633.1,"" 
2023-11-13T15:00:00Z,XLU,59.84,8,Market,Filled,478.72,"" 
2023-11-13T15:00:00Z,PLTR,19.52,115,Market,Filled,2244.8,"" 
2023-11-13T17:00:00Z,TSM,96.98,23,Market,Filled,2230.54,"" 
2023-11-20T15:00:00Z,AMD,121.06,19,Market,Filled,2300.14,"" 
2023-11-20T20:00:00Z,SOXL,24.23,-124,Market,Filled,-3004.52,"Liquidated" 
2023-11-20T20:00:00Z,INTC,44.8,-67,Market,Filled,-3001.6,"Liquidated" 
2023-11-20T21:00:00Z,SOXL,23.58,98,Market On Open,Filled,2310.84,"" 
2023-11-20T21:00:00Z,GOOG,137.94,17,Market On Open,Filled,2344.98,"" 
2023-11-27T15:00:00Z,CVX,143.57,16,Market,Filled,2297.12,"" 
2023-11-29T15:00:00Z,SQQQ,15.389,-133,Market,Filled,-2046.737,"Liquidated" 
2023-12-01T15:00:00Z,BABA,72.57,-24,Market,Filled,-1741.68,"Liquidated" 
2023-12-04T15:00:00Z,TQQQ,42.72,56,Market,Filled,2392.32,"" 
2023-12-04T15:00:00Z,SQQQ,16.44,146,Market,Filled,2400.24,"" 
2023-12-05T15:00:00Z,FXI,23.87,-70,Market,Filled,-1670.9,"Liquidated" 
2023-12-11T15:00:00Z,INTC,43.97,55,Market,Filled,2418.35,"" 
2023-12-18T15:00:00Z,TSLA,256.69,9,Market,Filled,2310.21,"" 
2023-12-18T18:00:00Z,SQQQ,13.95,-146,Market,Filled,-2036.7,"Liquidated" 
2023-12-18T19:00:00Z,JBL,130.705,19,Market,Filled,2483.395,"" 
2023-12-26T15:00:00Z,SOXL,31.71,-98,Market,Filled,-3107.58,"Liquidated" 
2024-01-02T20:00:00Z,PLTR,16.57,-115,Market,Filled,-1905.55,"Liquidated" 
2024-01-08T15:00:00Z,SOXL,27.7,91,Market,Filled,2520.7,"" 
2024-01-08T15:00:00Z,SQQQ,14.35,177,Market,Filled,2539.95,"" 
2024-01-08T20:00:00Z,RSP,157.155,16,Market,Filled,2514.48,"" 
2024-01-12T17:00:00Z,TSLA,218.19,-9,Market,Filled,-1963.71,"Liquidated" 
2024-01-18T15:00:00Z,AMD,165.665,-19,Market,Filled,-3147.635,"Liquidated" 
2024-01-22T15:00:00Z,AMD,169.31,15,Market,Filled,2539.65,"" 
2024-01-22T15:00:00Z,BABA,67.78,38,Market,Filled,2575.64,"" 
2024-01-22T15:00:00Z,SQQQ,12.17,-177,Market,Filled,-2154.09,"Liquidated" 
2024-01-22T16:00:00Z,PYPL,65.51,39,Market,Filled,2554.89,"" 
2024-01-24T15:00:00Z,META,391.51,-7,Market,Filled,-2740.57,"Liquidated" 
2024-01-24T15:00:00Z,SOXL,37.17,-91,Market,Filled,-3382.47,"Liquidated" 
2024-01-24T16:00:00Z,TQQQ,57.37,-56,Market,Filled,-3212.72,"Liquidated" 
2024-01-29T15:00:00Z,COIN,130.31,20,Market,Filled,2606.2,"" 
2024-01-29T15:00:00Z,SOXL,33.84,78,Market,Filled,2639.52,"" 
2024-01-29T15:00:00Z,SQQQ,12.14,219,Market,Filled,2658.66,"" 
2024-01-29T15:00:00Z,SMH,188.44,14,Market,Filled,2638.16,"" 
2024-02-02T15:00:00Z,AMZN,170.79,-18,Market,Filled,-3074.22,"Liquidated" 
2024-02-05T15:00:00Z,TSLA,182.6,14,Market,Filled,2556.4,"" 
2024-02-08T15:00:00Z,CRM,292.58,-10,Market,Filled,-2925.8,"Liquidated" 
2024-02-08T16:00:00Z,TSM,131.32,-23,Market,Filled,-3020.36,"Liquidated" 
2024-02-12T15:00:00Z,SPY,501.43,15,Market,Filled,7521.45,"" 
2024-02-12T15:00:00Z,XLU,60.32,81,Market,Filled,4885.92,"" 
2024-02-16T15:00:00Z,COIN,185.21,-20,Market,Filled,-3704.2,"Liquidated" 
2024-02-22T15:00:00Z,JPM,182.64,-14,Market,Filled,-2556.96,"Liquidated" 
2024-02-23T15:00:00Z,BRK.B,420.46,-6,Market,Filled,-2522.76,"Liquidated" 
2024-02-26T15:00:00Z,TQQQ,59.63,47,Market,Filled,2802.61,"" 
2024-02-26T15:00:00Z,TSM,128.74,22,Market,Filled,2832.28,"" 
2024-02-26T15:00:00Z,ARM,146.57,19,Market,Filled,2784.83,"" 
2024-02-28T15:00:00Z,WFC,55.275,-51,Market,Filled,-2819.025,"Liquidated" 
2024-03-01T15:00:00Z,SOXL,45.2,-78,Market,Filled,-3525.6,"Liquidated" 
2024-03-04T15:00:00Z,SOXL,49.411,58,Market,Filled,2865.838,"" 
2024-03-04T16:00:00Z,MU,96.36,29,Market,Filled,2794.44,"" 
2024-03-04T16:00:00Z,MARA,28.31,101,Market,Filled,2859.31,"" 
2024-03-05T16:00:00Z,MARA,23.31,-101,Market,Filled,-2354.31,"Liquidated" 
2024-03-18T15:00:00Z,MMM,105.26,27,Market,Filled,2842.02,"" 
2024-03-19T14:00:00Z,SOXL,39.6,-58,Market,Filled,-2296.8,"Liquidated" 
2024-03-19T14:00:00Z,ARM,123.85,-19,Market,Filled,-2353.15,"Liquidated" 
2024-03-21T14:00:00Z,SQQQ,10.15,-219,Market,Filled,-2222.85,"Liquidated" 
2024-03-25T14:00:00Z,COIN,272.58,10,Market,Filled,2725.8,"" 
2024-03-25T15:00:00Z,SOXL,46.53,63,Market,Filled,2931.39,"" 
2024-03-25T16:00:00Z,JPM,195.62,15,Market,Filled,2934.3,"" 
2024-03-28T20:00:00Z,BAC,0,-77,Market On Open,Canceled,0,"Liquidated" 
2024-03-28T20:15:00Z,BAC,0,-77,Market On Open,Canceled,0,"Liquidated" 
2024-04-01T04:00:00Z,BAC,37.96,-77,Market On Open,Filled,-2922.92,"Liquidated" 
2024-04-01T14:00:00Z,BAC,37.785,79,Market,Filled,2985.015,"" 
2024-04-04T17:00:00Z,MU,128.55,-29,Market,Filled,-3727.95,"Liquidated" 
2024-04-08T14:00:00Z,MU,124.765,23,Market,Filled,2869.595,"" 
2024-04-10T16:00:00Z,INTC,37.34,-55,Market,Filled,-2053.7,"Liquidated" 
2024-04-15T19:00:00Z,COIN,228.43,-10,Market,Filled,-2284.3,"Liquidated" 
2024-04-16T14:00:00Z,TSLA,154.97,-14,Market,Filled,-2169.58,"Liquidated" 
2024-04-17T15:00:00Z,SOXL,38.93,-63,Market,Filled,-2452.59,"Liquidated" 
2024-04-19T16:00:00Z,TQQQ,50.45,-47,Market,Filled,-2371.15,"Liquidated" 
2024-04-19T19:00:00Z,MU,106.07,-23,Market,Filled,-2439.61,"Liquidated" 
2024-04-22T14:00:00Z,COIN,224.4,12,Market,Filled,2692.8,"" 
2024-04-22T14:00:00Z,AMZN,177.03,15,Market,Filled,2655.45,"" 
2024-04-22T14:00:00Z,MU,108.59,25,Market,Filled,2714.75,"" 
2024-04-22T19:00:00Z,PG,160.88,17,Market,Filled,2734.96,"" 
2024-04-26T14:00:00Z,GOOGL,171.96,-18,Market,Filled,-3095.28,"Liquidated" 
2024-04-29T15:00:00Z,SNAP,14.725,196,Market,Filled,2886.1,"" 
2024-04-29T16:00:00Z,AON,281.925,10,Market,Filled,2819.25,"" 
2024-05-01T16:00:00Z,AMD,142.705,-15,Market,Filled,-2140.575,"Liquidated" 
2024-05-06T14:00:00Z,GOOGL,167.17,17,Market,Filled,2841.89,"" 
2024-05-13T14:00:00Z,SPY,521.68,12,Market,Filled,6260.16,"" 
2024-05-13T14:00:00Z,XLU,71.695,-35,Market,Filled,-2509.325,"" 
2024-06-05T15:00:00Z,SMH,250.85,-14,Market,Filled,-3511.9,"Liquidated" 
2024-06-10T14:00:00Z,TSLA,176.87,17,Market,Filled,3006.79,"" 
2024-06-10T16:00:00Z,ORCL,126.18,24,Market,Filled,3028.32,"" 
2024-06-12T14:00:00Z,TSM,174.05,-22,Market,Filled,-3829.1,"Liquidated" 
2024-06-17T14:00:00Z,TSM,175.78,17,Market,Filled,2988.26,"" 
2024-06-17T16:00:00Z,MU,145.54,-25,Market,Filled,-3638.5,"Liquidated" 
2024-06-17T17:00:00Z,GME,25.69,123,Market,Filled,3159.87,"" 
2024-06-17T17:00:00Z,MU,147.26,21,Market,Filled,3092.46,"" 
2024-06-17T17:00:00Z,MSFT,446.53,-6,Market,Filled,-2679.18,"Liquidated" 
2024-06-17T18:00:00Z,CAT,322.5,9,Market,Filled,2902.5,"" 
2024-06-24T14:00:00Z,T,18.575,-172,Market,Filled,-3194.9,"Liquidated" 
2024-06-24T15:00:00Z,SOXL,55.57,57,Market,Filled,3167.49,"" 
2024-06-25T16:00:00Z,GOOG,184.08,-17,Market,Filled,-3129.36,"Liquidated" 
2024-06-26T14:00:00Z,JBL,111.15,-19,Market,Filled,-2111.85,"Liquidated" 
2024-07-01T14:00:00Z,CRM,256.72,12,Market,Filled,3080.64,"" 
2024-07-01T14:00:00Z,AMD,155.37,20,Market,Filled,3107.4,"" 
2024-07-03T14:00:00Z,TSLA,238.83,-17,Market,Filled,-4060.11,"Liquidated" 
2024-07-08T14:00:00Z,DELL,143.97,22,Market,Filled,3167.34,"" 
2024-07-08T14:00:00Z,NVDA,130.5,25,Market,Filled,3262.5,"" 
2024-07-15T15:00:00Z,QCOM,208.33,16,Market,Filled,3333.28,"" 
2024-07-17T14:00:00Z,MU,122.15,-21,Market,Filled,-2565.15,"Liquidated" 
2024-07-18T16:00:00Z,DELL,122.29,-22,Market,Filled,-2690.38,"Liquidated" 
2024-07-19T20:00:00Z,SOXL,0,-57,Market On Open,Canceled,0,"Liquidated" 
2024-07-19T20:15:00Z,SOXL,0,-57,Market On Open,Canceled,0,"Liquidated" 
2024-07-22T04:00:00Z,SOXL,50.05,-57,Market On Open,Filled,-2852.85,"Liquidated" 
2024-07-22T14:00:00Z,SOXL,50.401,64,Market,Filled,3225.664,"" 
2024-07-25T14:00:00Z,NVDA,109.78,-25,Market,Filled,-2744.5,"Liquidated" 
2024-07-25T14:00:00Z,QCOM,176.36,-16,Market,Filled,-2821.76,"Liquidated" 
2024-07-25T14:00:00Z,SOXL,39.22,-64,Market,Filled,-2510.08,"Liquidated" 
2024-07-26T14:00:00Z,MMM,119.8,-32,Market,Filled,-3833.6,"Liquidated" 
2024-07-29T14:00:00Z,TQQQ,66.99,47,Market,Filled,3148.53,"" 
2024-07-29T14:00:00Z,SOXL,44.35,72,Market,Filled,3193.2,"" 
2024-07-29T14:00:00Z,MMM,125.05,25,Market,Filled,3126.25,"" 
2024-07-30T17:00:00Z,SOXL,36.87,-72,Market,Filled,-2654.64,"Liquidated" 
2024-08-01T17:00:00Z,GME,21.78,-123,Market,Filled,-2678.94,"Liquidated" 
2024-08-01T19:00:00Z,AMD,130.41,-20,Market,Filled,-2608.2,"Liquidated" 
2024-08-02T14:00:00Z,SNAP,10.01,-196,Market,Filled,-1961.96,"Liquidated" 
2024-08-02T15:00:00Z,TSM,149.4,-17,Market,Filled,-2539.8,"Liquidated" 
2024-08-05T14:00:00Z,TQQQ,52.39,-47,Market,Filled,-2462.33,"Liquidated" 
2024-08-05T14:00:00Z,COIN,183.21,-12,Market,Filled,-2198.52,"Liquidated" 
2024-08-12T14:00:00Z,SPY,531.39,-3,Market,Filled,-1594.17,"" 
2024-08-12T14:00:00Z,XLU,73.32,-7,Market,Filled,-513.24,"" 
2024-08-12T14:00:00Z,SQQQ,9.81,310,Market,Filled,3041.1,"" 
2024-08-12T14:00:00Z,SOXL,30.44,100,Market,Filled,3044,"" 
2024-08-12T14:00:00Z,TSM,166.04,18,Market,Filled,2988.72,"" 
2024-08-12T14:00:00Z,TQQQ,58.27,52,Market,Filled,3030.04,"" 
2024-08-12T14:00:00Z,NVDA,107.14,28,Market,Filled,2999.92,"" 
